content_id,content,价格,内饰,动力,外观,安全性,操控,油耗,空间,舒适性,配置
01DqbWMwRjfBxLYz,自动启停对车没好处，等红灯挂N挡，轻刹车。,9,9,9,9,9,0,9,9,9,9
01X4vSqHci6NPYBy,开的2.0？在西藏动力如何？,9,9,0,9,9,9,9,9,9,9
02VHu4amZkpAGTb7,常用配件价格不贵，跟大众差不多。而且常用配件都有备货，如果不太常用的可能需要等，但也绝不是从日本现运，北京大库都有货。,0,9,9,9,9,9,9,9,9,9
038JPMTIu1tRcZ2p,4万公里，悲催的11。。。市区每天办事，堵成汪。 哈哈哈。如果以前的锐志，起码13~14,9,9,9,9,9,9,0,9,9,9
03AUEJcWODxb9ZHa,建议最好使用原厂，subaru的发动机的冷却方式更别的车不一样，所以原厂更适合。   ,9,9,0,9,9,9,9,9,9,9
03SpF6jYbtHuQZKA,对了只要你能找到合适的修理厂，我这有全套的底盘件，都是森友，友情价，不开网店的哦，实体七千多款摆臂和拉杆类优质产品。,0,9,9,9,9,0,9,9,9,9
04LwnB1aJEhRupPV,2呀，横风吹过来车身发飘晃动,9,9,9,-1,9,9,9,9,9,9
04VbUArXlizvM86m,美国那边买车每年还要交财产税吧？你买的顶配涡轮森价格折合25w，每年大概交多少财产税？,0,9,9,9,9,9,9,9,9,9
04W5t6qzQoaXOJmu,一般4S什么车多就推什么配置类型的，这个都是正常的，避免堆积不好卖的车型越来越多。 如满意请采纳。,9,9,9,9,9,9,9,9,9,0
04xjlrFa97BJvk31,你是选择森林人呢，还是选择xv，这两款车开起来的感觉差不多，因为2.0的发动机，底盘都是差不多的，森林人的空间大一些，xv时尚一些，都是全时四驱，水平对置发动机，油耗xv要稍微的低一点，你可以看看关于xv的试驾的视频，有很多，可以更直接的了解，“xv是为满足那些喜欢驾驶的人设计的，他的精髓是开”。所以说你要追求驾驶的感觉和乐趣，就选择斯巴鲁，一般的开开选途观。   ,9,9,0,9,9,0,9,0,9,9
052CQXiOdaV3zve9,有点纠结了，是要现款2.5低配还是等新的这个eye版本？新款没优惠……多啦配置,0,9,9,9,9,9,9,9,9,9
05ICv1NrAWEDJslV,市区转就这油耗，长途就好了,9,9,9,9,9,9,0,9,9,9
068jVwidQxcuaRq9,老款的最低优惠2.5万,0,9,9,9,9,9,9,9,9,9
06Fk9KfIJB1reoSz,价格便宜，检查好车况再出手。,0,9,9,9,9,9,9,9,9,9
06yDbC8o3rmYNBsZ,卡宴不是水平对置发动机，不知跟森比啥，比啥森都没戏。,9,9,1,9,9,9,9,9,9,9
074gHEUAYSjMNvLr,呵呵 轮胎又不是轮毂！可以配的   ,9,9,9,9,9,9,9,9,0,9
07GMm9nQUbLcsq8a,5个门 4个轮眉 备胎的东西 车底喷底盘装甲(花不了多少）2000差不多了，,9,9,9,9,9,0,9,9,9,9
07MldQeGIFPmSJci,买得起森林人就不会在乎多几万块钱的事，2.5烧机油，2.0省心自己看着办。,9,9,-1,9,9,9,9,9,9,9
07nOT46zjIJ9kxeG,相比外形我更欣赏19款的内饰，增加了电子手刹，按键布局重新调整，驾驶模式旋钮更显实力，而且后排座椅放倒可以得到纯平的大空间。,9,0,9,9,9,9,9,0,9,9
